DD MM YY London Bristol Liverpool Manchester Newcastle Birmingham Sheffield
 9  3 57 2225  74 506 714 471  403 119
16  3 57 1832  54 646 768 339  461 134
23  3 57 2034  83 654 610 329  722 154
30  3 57 1724  99 568 630 195  640 158
 6  4 57 2007 124 464 592 151  840 185
13  4 57 2016 217 350 548 115 1133 220
20  4 57 1767 213 356 483  27  905 227
27  4 57 1780 328 244 486  89 1239 236
 4  5 57 1640 347 230 419  34  975 273
11  5 57 1169 292 211 221  31  816 243
18  5 57  869 263 242 235  27  694 324
25  5 57 1071 377 196 198  12  961 438
 1  6 57  893 403 216 219  10  850 602
 8  6 57  964 421 197 137  20 1033 611
15  6 57  856 376 194 170  15  921 738
22  6 57  752 518 141 159  12  986 803
29  6 57  584 408 151 113   9  739 582
 6  7 57  427 381 138 110   8  447 471
13  7 57  344 349 136  84  16  407 392
20  7 57  225 303 108  88   9  447 362
27  7 57  219 259  85  50   6  387 278
 3  8 57  216 212  88  44  11  303 166
10  8 57  162 177  74  20   7  186 139
17  8 57  148  99  71  35   3  132 109
24  8 57   90  81  55   6   7   94  63
31  8 57   60  32  48   5   6   45  34
 7  9 57   53  21  42  10   5   83  18
14  9 57   28  21  20  10   4   19  11
21  9 57   28  38  27   8   1   12   3
28  9 57   20  33  13   5   0   13   1
 5 10 57   23  37   7   9   3   31   5
12 10 57   24  21   9   8   0    4   6
19 10 57   27  25   6   8   0    9   9
26 10 57   23  31   8  14   0    3   4
 2 11 57   23  35  18  24   1    8   2
 9 11 57   30  30  10  22   0   12   2
16 11 57   36  25  18  39   1   17   0
23 11 57   31  23  20  12   0    6   0
30 11 57   37  19  22  18   0   14   0
 7 12 57   44  20  24  12   2    8   0
14 12 57   40  26  26  25   0   16   1
21 12 57   35  26  24   6   0    9   1
28 12 57   23   7  44  20   1    3   3
 4  1 58   27  14  45  16   1   11   1
11  1 58   39   9  26  16   0    9   1
18  1 58   18  15  23  20   0   10   1
25  1 58   39   0  31  19   3   23   1
 1  2 58   56   6  53  25   1   43   1
 8  2 58   64  12  58  27   1   25   3
15  2 58   89   9  60  40   1    9   0
22  2 58  153  23 161  29   1   41   3
 1  3 58  110  28 128  39   1   39   1
 8  3 58  210  30 179  17   1   20   0
15  3 58  140  16 159  26   2   38   4
22  3 58  232  47 153  17   0   40   1
29  3 58  165  48 164  42   0   56   0
 5  4 58  250  30 150  44   1  117   1
12  4 58  281  49 150  40   2   89   5
19  4 58  444  67 154  57   2  102   6
